GroupSize TestFunction ESS/s
3 "from1to2" 70.7222990426808
3 "from2to1" 75.2472153421502
6 "from1to2" 47.6526652845713
6 "from2to1" 24.8665675393501
9 "from1to2" 89.7724618432174
9 "from2to1" 13.8890211169949
8 "from1to2" 10.6665640939348
8 "from2to1" 18.1544901308888
5 "from1to2" 38.838080138231
5 "from2to1" 66.5724767274177
10 "from1to2" 21.7213804258221
10 "from2to1" 17.7177102717295
