GroupSize, TestFunction, ESS/s
3,from1to2,168.250630787023
3,from2to1,179.015552628502
4,from1to2,98.7787675937044
4,from2to1,106.341529874655
5,from1to2,94.4819317563507
5,from2to1,161.951779815696
6,from1to2,119.175413363177
6,from2to1,62.1892489691422
